Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0591,5,5,0,7,0,0,0,0,2,10,1,6,0,0,1,0,6,0,38,,
1991Q1,0599,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,,
1991Q1,0600,6,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,
1991Q1,0604,6,0,3,0,1 ,0,0,0,1,4,1,0,0,0,1,0,2,0,13,,
1991Q1,0609,6,0,1,0,1 ,0,0,0,0,2,0,0,0,0,2,0,2,0,8,,
1991Q1,0615,6,0,5,1,0 ,1,0,0,3,7,0,2,0,0,2,2,10,0,33,,
1991Q1,0621,6,0,6,1,2 ,0,0,0,3,5,0,4,0,0,0,0,6,0,27,,
1991Q1,0622,6,0,21,0,0 ,1,1,0,4,37,2,7,0,0,6,3,24,0,106,,
1991Q1,0625,6,1,1,1,0 ,0,0,0,4,10,4,3,0,0,2,0,10,0,36,,
1991Q1,0626,6,1,14,0,3 ,1,0,0,3,17,2,3,0,0,3,3,8,0,58,,
1991Q1,0627,6,0,7,2,2 ,1,0,0,1,16,2,3,0,0,4,2,10,0,50,,
1991Q1,0628,6,0,15,4,4 ,1,0,0,10,40,9,5,0,0,8,4,31,0,131,,
1991Q1,0629,6,0,11,0,9 ,0,0,0,1,13,2,1,1,0,0,0,8,0,46,,
1991Q1,0631,6,0,8,1,1 ,0,0,0,4,5,1,2,0,0,2,0,4,0,28,,
1991Q1,0632,6,2,17,0,3 ,0,0,1,5,26,11,8,2,0,24,1,20,0,120,,
1991Q1,0636,6,12,26,4,34 ,15,2,2,56,68,14,27,4,5,29,2,61,0,361,,
1991Q1,0637,6,3,5,0,12 ,1,0,1,13,29,4,5,1,0,6,0,15,0,95,,
1991Q1,0638,6,2,4,0,14 ,9,1,0,15,19,4,2,0,0,6,0,31,1,108,,
1991Q1,0639,6,3,5,1,2 ,2,0,0,11,27,4,2,0,1,6,0,37,1,102,,
1991Q1,0642,6,2,12,1,8 ,4,0,0,14,21,2,3,1,0,7,1,19,0,95,,
1991Q1,0643,6,4,37,2,26 ,15,0,3,26,86,13,18,7,1,26,4,78,0,346,,
1991Q1,0645,6,4,31,5,31 ,8,0,9,35,116,12,17,8,2,21,3,48,0,350,,
1991Q1,0646,6,2,14,3,31 ,8,0,2,40,124,9,20,5,2,26,3,42,0,331,,
1991Q1,0647,6,2,5,0,19 ,7,0,2,30,62,13,7,2,1,26,3,33,0,212,,
1991Q1,0649,6,7,12,2,25 ,11,1,1,46,13,12,5,4,2,40,1,31,0,213,,
